#PI: Shappee 
#OBJECT: SN 2011fe 
#JD: 2457104.01466 
# 
#Angstrom    Flux(erg/s/cm**2/Angstrom) 
4332.8 3.2020818e-15 
4334.3 3.2165846e-15 
4335.8 3.0984488e-15 
4337.2 3.4460942e-15 
4338.7 3.2825785e-15 
4340.2 3.301992e-15 
4341.6 3.6940778e-15 
4343.1 2.9564032e-15 
4344.5 2.9885249e-15 
4346.0 3.0183195e-15 
4347.5 2.9042323e-15 
4348.9 2.8570593e-15 
4350.4 2.8352528e-15 
4351.9 3.0476937e-15 
4353.3 3.12324e-15 
4354.8 3.2304936e-15 
4356.3 3.1177304e-15 
4357.7 2.9559735e-15 
4359.2 2.9598562e-15 
4360.6 3.274794e-15 
4362.1 3.0976004e-15 
4363.6 2.8763733e-15 
4365.0 3.2078511e-15 
4366.5 3.0338356e-15 
4368.0 3.0560525e-15 
4369.4 3.0610837e-15 
4370.9 3.0374625e-15 
4372.4 3.1194116e-15 
4373.8 3.0370351e-15 
4375.3 2.9009125e-15 
4376.7 2.9333051e-15 
4378.2 2.9159005e-15 
4379.7 2.8401018e-15 
4381.1 2.6247092e-15 
4382.6 2.7981612e-15 
4384.1 2.4209003e-15 
4385.5 2.717476e-15 
4387.0 2.773945e-15 
4388.5 2.6520179e-15 
4389.9 2.7525862e-15 
4391.4 2.5135547e-15 
4392.8 2.7673245e-15 
4394.3 2.9044416e-15 
4395.8 2.9894801e-15 
4397.2 2.7240438e-15 
4398.7 2.8862723e-15 
4400.2 3.5756222e-15 
4401.6 2.7996028e-15 
4403.1 2.5616456e-15 
4404.6 2.5287094e-15 
4406.0 2.7363909e-15 
4407.5 2.784044e-15 
4408.9 2.6053711e-15 
4410.4 2.7078255e-15 
4411.9 2.7278762e-15 
4413.3 3.0822506e-15 
4414.8 2.695899e-15 
4416.3 2.5341342e-15 
4417.7 2.5372501e-15 
4419.2 2.9330307e-15 
4420.7 2.9529328e-15 
4422.1 2.4195214e-15 
4423.6 3.5072136e-15 
4425.0 3.4768342e-15 
4426.5 2.7815234e-15 
4428.0 2.4614302e-15 
4429.4 2.6152815e-15 
4430.9 2.6594232e-15 
4432.4 2.3449318e-15 
4433.8 2.6145638e-15 
4435.3 2.8663443e-15 
4436.8 2.5695325e-15 
4438.2 2.4947482e-15 
4439.7 2.579904e-15 
4441.1 2.7737475e-15 
4442.6 2.8035648e-15 
4444.1 3.4500225e-15 
4445.5 2.7205302e-15 
4447.0 2.7660307e-15 
4448.5 2.9835844e-15 
4449.9 2.7315314e-15 
4451.4 2.6689675e-15 
4452.9 2.5745418e-15 
4454.3 3.155649e-15 
4455.8 2.8978118e-15 
4457.2 2.4392466e-15 
4458.7 2.582058e-15 
4460.2 2.5192659e-15 
4461.6 2.9331381e-15 
4463.1 3.8530416e-15 
4464.6 2.8892387e-15 
4466.0 2.7487412e-15 
4467.5 2.5943177e-15 
4469.0 2.9311406e-15 
4470.4 2.4367446e-15 
4471.9 3.2825292e-15 
4473.3 2.7977084e-15 
4474.8 2.8186644e-15 
4476.3 2.976563e-15 
4477.7 3.1711521e-15 
4479.2 2.818789e-15 
4480.7 2.810717e-15 
4482.1 2.6116954e-15 
4483.6 3.0051939e-15 
4485.1 2.9628018e-15 
4486.5 3.017175e-15 
4488.0 3.0582105e-15 
4489.4 3.1497705e-15 
4490.9 2.8517408e-15 
4492.4 2.75323e-15 
4493.8 3.4015641e-15 
4495.3 2.9558735e-15 
4496.8 3.1157151e-15 
4498.2 3.1305447e-15 
4499.7 2.9820748e-15 
4501.2 3.1215932e-15 
4502.6 3.4016463e-15 
4504.1 3.1978706e-15 
4505.5 3.19964e-15 
4507.0 3.3691102e-15 
4508.5 3.3154091e-15 
4509.9 3.0800689e-15 
4511.4 3.4776316e-15 
4512.9 3.3684602e-15 
4514.3 3.5323137e-15 
4515.8 3.3460418e-15 
