# SNID ztf24abodysq
# OBSERVER = Rich/Wise/Hinds
# RA 241.67929166666667
# OBS_DATE 2025-01-05 13:23:47.93
# MJD 60680.55819363
# DEC 16.32327777777778
# INSTRUMENT KAST
#wavelength flux flux_err
4018.64317293 -0.03271464 0.06884556
4019.65415044 -0.01877149 0.07115623
4020.66512795 0.05258812 0.06994984
4021.67610546 0.08720403 0.06972498
4022.68708296 0.00869647 0.07135264
4023.69806047 0.26614860 0.07214383
4024.70903798 0.19061898 0.07098486
4025.72001549 -0.01599067 0.06842934
4026.73099300 0.13023762 0.06713353
4027.74197051 0.18176804 0.06701273
4028.75294802 0.21390803 0.06603622
4029.76392553 0.19114460 0.06477264
4030.77490304 0.16733095 0.06472289
4031.78588055 -0.03668940 0.06452227
4032.79685806 0.02500037 0.06280024
4033.80783557 0.05981395 0.06386511
4034.81881308 -0.02418005 0.06430467
4035.82979059 0.06441964 0.06331097
4036.84076810 -0.04656859 0.06466525
4037.85174561 -0.12936537 0.06606382
4038.86272311 -0.07707330 0.06527973
4039.87370062 -0.08140693 0.06465834
4040.88467813 -0.03379202 0.06534365
4041.89565564 -0.04612197 0.06720272
4042.90663315 0.03804538 0.06955502
4043.91761066 0.08708908 0.07770760
4044.92858817 0.23252897 0.09583858
4045.93956568 0.16879541 0.10878251
4046.95054319 -0.09452039 0.10980349
4047.96152070 0.03787116 0.09968440
4048.97249821 0.10446895 0.08198671
4049.98347572 0.06969782 0.07116396
4050.99445323 0.12550265 0.07049574
4052.00543074 -0.04626983 0.06843218
4053.01640825 0.04214388 0.06466829
4054.02738575 0.14356260 0.06461495
4055.03836326 0.04256671 0.06467675
4056.04934077 -0.14026949 0.06572967
4057.06031828 -0.01300881 0.06202750
4058.07129579 0.00224252 0.06396136
4059.08227330 0.14256938 0.06568313
4060.09325081 -0.01314888 0.06319891
4061.10422832 0.02155096 0.06395214
4062.11520583 0.04324089 0.06157017
4063.12618334 0.01699753 0.06315377
4064.13716085 0.08844629 0.06396614
4065.14813836 0.08824379 0.06288787
4066.15911587 0.01714203 0.06268890
4067.17009338 0.00009688 0.06257459
4068.18107089 -0.06309494 0.06410281
4069.19204839 0.08569983 0.06320112
4070.20302590 0.04843605 0.06110828
4071.21400341 -0.02539042 0.05953010
4072.22498092 -0.04097313 0.05929348
4073.23595843 0.12310369 0.05979460
4074.24693594 0.09591749 0.06065680
4075.25791345 0.14201473 0.06424849
4076.26889096 0.14601207 0.06803238
4077.27986847 0.00533081 0.06884537
4078.29084598 0.05267963 0.06793122
4079.30182349 0.08078284 0.06643616
4080.31280100 0.29845920 0.06561268
4081.32377851 0.09241229 0.06311703
4082.33475602 0.03978892 0.06223207
4083.34573353 0.16365916 0.06276191
4084.35671104 0.18523911 0.06370118
4085.36768854 -0.13375205 0.06270447
4086.37866605 0.03390643 0.06202007
4087.38964356 0.19067110 0.06142732
4088.40062107 0.16571042 0.06025404
4089.41159858 0.03638104 0.05883458
4090.42257609 0.10053910 0.05860593
