5241.62842753216  1.159800E-16
5244.66983771683  1.149744E-16
5247.7112479015  1.144443E-16
5250.75265808616  1.226347E-16
5253.79406827083  1.220904E-16
5256.8354784555  1.252675E-16
5259.87688864016  1.212958E-16
5262.91829882483  1.239664E-16
5265.9597090095  1.246069E-16
5269.00111919416  1.259095E-16
5272.04252937883  1.280573E-16
5275.0839395635  1.300257E-16
5278.12534974816  1.339615E-16
5281.16675993283  1.337603E-16
5284.2081701175  1.357184E-16
5287.24958030216  1.325331E-16
5290.29099048683  1.323560E-16
5293.3324006715  1.323441E-16
5296.37381085617  1.297165E-16
5299.41522104083  1.292244E-16
5302.4566312255  1.328409E-16
5305.49804141017  1.360707E-16
5308.53945159484  1.320312E-16
5311.5808617795  1.273317E-16
5314.62227196417  1.207727E-16
5317.66368214884  1.250917E-16
5320.7050923335  1.346380E-16
5323.74650251817  1.361459E-16
5326.78791270284  1.354473E-16
5329.8293228875  1.278352E-16
5332.87073307217  1.296778E-16
5335.91214325684  1.276727E-16
5338.9535534415  1.307311E-16
5341.99496362617  1.291006E-16
5345.03637381084  1.319662E-16
5348.07778399551  1.393077E-16
5351.11919418017  1.352678E-16
5354.16060436484  1.326918E-16
5357.20201454951  1.367495E-16
5360.24342473417  1.388186E-16
5363.28483491884  1.410106E-16
5366.32624510351  1.339280E-16
5369.36765528817  1.376448E-16
5372.40906547284  1.400789E-16
5375.45047565751  1.458746E-16
5378.49188584218  1.413297E-16
5381.53329602684  1.379313E-16
5384.57470621151  1.445843E-16
5387.61611639618  1.487052E-16
5390.65752658084  1.469010E-16
5393.69893676551  1.488002E-16
5396.74034695018  1.434438E-16
5399.78175713485  1.484622E-16
5402.82316731951  1.473559E-16
5405.86457750418  1.481655E-16
5408.90598768885  1.492898E-16
5411.94739787351  1.541730E-16
5414.98880805818  1.541511E-16
5418.03021824285  1.550931E-16
5421.07162842751  1.531552E-16
5424.11303861218  1.594092E-16
5427.15444879685  1.580529E-16
5430.19585898152  1.598716E-16
5433.23726916618  1.623055E-16
5436.27867935085  1.526988E-16
5439.32008953552  1.533020E-16
5442.36149972018  1.567989E-16
5445.40290990485  1.557241E-16
5448.44432008952  1.557019E-16
5451.48573027418  1.583551E-16
5454.52714045885  1.668619E-16
5457.56855064352  1.667023E-16
5460.60996082819  1.600269E-16
5463.65137101285  1.558285E-16
5466.69278119752  1.625829E-16
5469.73419138219  1.576964E-16
5472.77560156685  1.608722E-16
5475.81701175152  1.541961E-16
5478.85842193619  1.544184E-16
5481.89983212085  1.567781E-16
5484.94124230552  1.504036E-16
5487.98265249019  1.545143E-16
5491.02406267486  1.557773E-16
5494.06547285952  1.518993E-16
5497.10688304419  1.606583E-16
5500.14829322886  1.526614E-16
5503.18970341352  1.526538E-16
5506.23111359819  1.583961E-16
5509.27252378286  1.555112E-16
5512.31393396752  1.555724E-16
5515.35534415219  1.480810E-16
5518.39675433686  1.486961E-16
5521.43816452153  1.490715E-16
5524.47957470619  1.498517E-16
5527.52098489086  1.448737E-16
5530.56239507553  1.488484E-16
5533.60380526019  1.438336E-16
5536.64521544486  1.436875E-16
5539.68662562953  1.390567E-16
5542.72803581419  1.358405E-16
5545.76944599886  1.411286E-16
5548.81085618353  1.399925E-16
5551.85226636819  1.268915E-16
5554.89367655286  1.296008E-16
5557.93508673753  1.329467E-16
5560.9764969222  1.287521E-16
5564.01790710686  1.296640E-16
5567.05931729153  1.316768E-16
5570.1007274762  1.242360E-16
5573.14213766086  1.047638E-16
5576.18354784553  9.581336E-17
5579.2249580302  1.131843E-16
5582.26636821487  1.200825E-16
5585.30777839953  1.130552E-16
5588.3491885842  1.073253E-16
5591.39059876887  1.041975E-16
