5141.26189143815  1.664351E-15
5144.30330162282  1.780298E-15
5147.34471180748  1.736936E-15
5150.38612199215  1.765970E-15
5153.42753217682  1.841303E-15
5156.46894236148  1.832190E-15
5159.51035254615  1.856740E-15
5162.55176273082  1.872396E-15
5165.59317291549  1.851837E-15
5168.63458310015  1.866521E-15
5171.67599328482  1.903387E-15
5174.71740346949  2.005835E-15
5177.75881365415  1.904732E-15
5180.80022383882  1.957333E-15
5183.84163402349  2.026309E-15
5186.88304420816  1.983502E-15
5189.92445439282  1.918081E-15
5192.96586457749  1.947562E-15
5196.00727476216  1.956674E-15
5199.04868494682  1.934728E-15
5202.09009513149  1.886725E-15
5205.13150531616  1.940737E-15
5208.17291550082  1.911930E-15
5211.21432568549  1.917723E-15
5214.25573587016  1.883664E-15
5217.29714605482  1.935717E-15
5220.33855623949  1.898178E-15
5223.37996642416  1.886055E-15
5226.42137660883  1.811067E-15
5229.46278679349  1.836669E-15
5232.50419697816  1.871956E-15
5235.54560716283  1.848741E-15
5238.58701734749  1.877501E-15
5241.62842753216  1.902567E-15
5244.66983771683  1.820358E-15
5247.7112479015  1.826218E-15
5250.75265808616  1.890789E-15
5253.79406827083  1.819218E-15
5256.8354784555  1.797561E-15
5259.87688864016  1.797937E-15
5262.91829882483  1.893019E-15
5265.9597090095  1.851350E-15
5269.00111919416  1.790090E-15
5272.04252937883  1.879360E-15
5275.0839395635  1.831850E-15
5278.12534974816  1.758571E-15
5281.16675993283  1.843727E-15
5284.2081701175  1.853046E-15
5287.24958030216  1.731085E-15
5290.29099048683  1.710433E-15
5293.3324006715  1.684203E-15
5296.37381085617  1.612781E-15
5299.41522104083  1.633717E-15
5302.4566312255  1.576384E-15
5305.49804141017  1.494770E-15
5308.53945159484  1.448107E-15
5311.5808617795  1.471751E-15
5314.62227196417  1.437947E-15
5317.66368214884  1.361783E-15
5320.7050923335  1.375550E-15
5323.74650251817  1.403110E-15
5326.78791270284  1.321076E-15
5329.8293228875  1.323542E-15
5332.87073307217  1.379525E-15
5335.91214325684  1.356254E-15
5338.9535534415  1.305043E-15
5341.99496362617  1.358887E-15
5345.03637381084  1.335950E-15
5348.07778399551  1.352253E-15
5351.11919418017  1.394687E-15
5354.16060436484  1.432813E-15
5357.20201454951  1.380882E-15
5360.24342473417  1.381057E-15
5363.28483491884  1.414576E-15
5366.32624510351  1.311890E-15
5369.36765528817  1.314302E-15
5372.40906547284  1.341621E-15
5375.45047565751  1.384270E-15
5378.49188584218  1.388041E-15
5381.53329602684  1.382050E-15
5384.57470621151  1.364921E-15
5387.61611639618  1.324585E-15
5390.65752658084  1.339289E-15
5393.69893676551  1.376784E-15
5396.74034695018  1.365616E-15
5399.78175713485  1.384498E-15
5402.82316731951  1.386003E-15
5405.86457750418  1.379573E-15
5408.90598768885  1.340081E-15
5411.94739787351  1.302237E-15
5414.98880805818  1.336987E-15
5418.03021824285  1.317882E-15
5421.07162842751  1.448137E-15
5424.11303861218  1.433816E-15
5427.15444879685  1.437583E-15
5430.19585898152  1.421088E-15
5433.23726916618  1.345605E-15
5436.27867935085  1.349339E-15
5439.32008953552  1.358545E-15
5442.36149972018  1.382900E-15
5445.40290990485  1.414069E-15
5448.44432008952  1.433399E-15
5451.48573027418  1.453021E-15
5454.52714045885  1.470670E-15
5457.56855064352  1.403312E-15
5460.60996082819  1.404652E-15
5463.65137101285  1.417837E-15
5466.69278119752  1.358505E-15
5469.73419138219  1.369640E-15
5472.77560156685  1.360435E-15
5475.81701175152  1.393841E-15
