#wavelength spec_sum
5650.68 5349.66
5653.56 5218.21
5656.44 5399.4
5659.32 5393.38
5662.19 5455.13
5665.07 5612.62
5667.95 6063.55
5670.83 5635.9
5673.7 5617.03
5676.58 5540.32
5679.46 6026.04
5682.34 6164.75
5685.21 6088.63
5688.09 5595.13
5690.97 5770.3
5693.84 5654.01
5696.72 6501.89
5699.6 6200.07
5702.47 5861.41
5705.35 5849.21
5708.23 6152.35
5711.1 6258.65
5713.98 6195.92
5716.85 6634.09
5719.73 6367.79
5722.61 6743.1
5725.48 6336.54
5728.36 5885.59
5731.23 6142.65
5734.11 6009.43
5736.98 6671.59
5739.86 6681.74
5742.73 6051.05
5745.61 6379.12
5748.48 6262.41
5751.36 6733.41
5754.23 6830.71
5757.11 6757.31
5759.98 6200.8
5762.86 6221.83
5765.73 6797.58
5768.6 6703.66
5771.48 6813.76
5774.35 5873.62
5777.23 6209.14
5780.1 6302.33
5782.97 6335.82
5785.85 6585.7
5788.72 6405.91
5791.59 6338.69
5794.47 6576.98
5797.34 6711.95
5800.21 6407.81
5803.09 6141.33
5805.96 6344.12
5808.83 6579.34
5811.71 6957.63
5814.58 6709.43
5817.45 6596.58
5820.32 6484.67
5823.2 7077.62
5826.07 6987.81
5828.94 6055.82
5831.81 6918.76
5834.68 6890.5
5837.56 6117.62
5840.43 7195.34
5843.3 7544.82
5846.17 6811.87
5849.04 6611.15
5851.91 6872.95
5854.78 6592.59
5857.66 6702.41
5860.53 6612.99
5863.4 6966.23
5866.27 6594.04
5869.14 6885.68
5872.01 6205.2
5874.88 6414.41
5877.75 7351.67
5880.62 6990.59
5883.49 6820.65
5886.36 6042.38
5889.23 7150.11
5892.1 6706.83
5894.97 6419.38
5897.84 6190.32
5900.71 6629.98
5903.58 6692.63
5906.45 6667.68
5909.32 6824.23
5912.19 6836.43
5915.05 6714.31
5917.92 6666.38
5920.79 6306.66
5923.66 6329.41
5926.53 5534.93
5929.4 6603.12
5932.27 6244.72
5935.13 6231.73
5938 5926.45
5940.87 6398.28
5943.74 6065.3
5946.61 5628.94
5949.47 5940.49
5952.34 5549.49
5955.21 6135.24
5958.08 5708.83
5960.94 5644
5963.81 5911.66
5966.68 5719.5
5969.54 5798.52
5972.41 5559.48
5975.28 5540.73
5978.14 5532.11
5981.01 5520.33
5983.88 5750.72
5986.74 5739.36
5989.61 5597.47
5992.48 5941.45
5995.34 6000.88
5998.21 5947.22
6001.07 5611.98
6003.94 5735.8
6006.8 6020.85
6009.67 6038.48
6012.53 5436.75
6015.4 5857.76
6018.27 5993.43
6021.13 5465.53
6023.99 6145.99
6026.86 5779.47
6029.72 5989.06
6032.59 5487.16
6035.45 6151.96
6038.32 5821.92
6041.18 6187.3
6044.04 5653.47
6046.91 5770.74
6049.77 5976.5
6052.64 6145.68
6055.5 5690.19
6058.36 5443.29
6061.23 6171.63
6064.09 6044.96
6066.95 5666.39
6069.82 5702.74
6072.68 6357.48
6075.54 6039.65
6078.4 5918.56
6081.27 5708.38
6084.13 6022.79
6086.99 5679.82
6089.85 5863.14
6092.71 6147.05
6095.58 6120.69
6098.44 5526.66
6101.3 5630.57
6104.16 5707.93
6107.02 5539.98
6109.88 5929.36
6112.75 6007.32
6115.61 6279.88
6118.47 5432.69
6121.33 5287.53
6124.19 5931.32
6127.05 5487.74
6129.91 5550.94
6132.77 5272.63
6135.63 5588.95
6138.49 5504.02
6141.35 5524.92
6144.21 5334.27
6147.07 5106.54
6149.93 5628.03
6152.79 5526.97
6155.65 5600.57
6158.51 5302.85
6161.37 5607.75
6164.23 5146.63
6167.09 5253.98
6169.94 5519.23
6172.8 5447.65
6175.66 5343.05
6178.52 5207.46
6181.38 4930.6
6184.24 5379.12
6187.09 5225.49
6189.95 5126.37
6192.81 5360.4
6195.67 5474.93
6198.53 4864.46
6201.38 5119.21
6204.24 5008.39
6207.1 4653.45
6209.95 5259.34
6212.81 4806.56
6215.67 5200.1
6218.52 5417.77
6221.38 4829.43
6224.24 4862.49
6227.09 4966.28
6229.95 4791.26
6232.81 4466.94
6235.66 5048.07
6238.52 4636.79
6241.37 4722.83
6244.23 4739.51
