5433.23726916618  7.546449E-17
5436.27867935085  7.370509E-17
5439.32008953552  7.271260E-17
5442.36149972018  7.298078E-17
5445.40290990485  7.725468E-17
5448.44432008952  7.864053E-17
5451.48573027418  7.659747E-17
5454.52714045885  7.766510E-17
5457.56855064352  7.839194E-17
5460.60996082819  7.798265E-17
5463.65137101285  7.597690E-17
5466.69278119752  8.116824E-17
5469.73419138219  8.209455E-17
5472.77560156685  8.370844E-17
5475.81701175152  8.250024E-17
5478.85842193619  8.332195E-17
5481.89983212085  8.467485E-17
5484.94124230552  7.956081E-17
5487.98265249019  8.246169E-17
5491.02406267486  8.499248E-17
5494.06547285952  8.231427E-17
5497.10688304419  8.360442E-17
5500.14829322886  8.209848E-17
5503.18970341352  8.877303E-17
5506.23111359819  8.845727E-17
5509.27252378286  8.659019E-17
5512.31393396752  8.567399E-17
5515.35534415219  8.690178E-17
5518.39675433686  8.378821E-17
5521.43816452153  8.573415E-17
5524.47957470619  8.829150E-17
5527.52098489086  8.729685E-17
5530.56239507553  8.894917E-17
5533.60380526019  9.205455E-17
5536.64521544486  8.706468E-17
5539.68662562953  8.833984E-17
5542.72803581419  9.257143E-17
5545.76944599886  9.136304E-17
5548.81085618353  8.680463E-17
5551.85226636819  9.229326E-17
5554.89367655286  9.413728E-17
5557.93508673753  9.375266E-17
5560.9764969222  9.668506E-17
5564.01790710686  9.600130E-17
5567.05931729153  9.150466E-17
5570.1007274762  9.143976E-17
5573.14213766086  9.137486E-17
5576.18354784553  9.130996E-17
5579.2249580302  9.389452E-17
5582.26636821487  9.455647E-17
5585.30777839953  9.521832E-17
5588.3491885842  9.452620E-17
5591.39059876887  9.391673E-17
5594.43200895353  9.354909E-17
5597.4734191382  9.410638E-17
5600.51482932287  9.266716E-17
5603.55623950754  9.371646E-17
5606.5976496922  9.450858E-17
5609.63905987687  9.010210E-17
5612.68047006154  9.015002E-17
5615.7218802462  9.173487E-17
5618.76329043087  9.253228E-17
5621.80470061554  8.832736E-17
5624.8461108002  8.340958E-17
5627.88752098487  8.609920E-17
5630.92893116954  8.330357E-17
5633.9703413542  8.352755E-17
5637.01175153887  8.115364E-17
5640.05316172354  8.467264E-17
5643.09457190821  8.043147E-17
5646.13598209287  8.085012E-17
5649.17739227754  7.539561E-17
5652.21880246221  7.311870E-17
5655.26021264687  7.679700E-17
5658.30162283154  7.772855E-17
5661.34303301621  7.384589E-17
5664.38444320087  7.921756E-17
5667.42585338554  7.724272E-17
5670.46726357021  7.298829E-17
5673.50867375488  7.332309E-17
5676.55008393954  7.812757E-17
5679.59149412421  7.728788E-17
5682.63290430888  7.981576E-17
5685.67431449354  7.871338E-17
5688.71572467821  7.813698E-17
5691.75713486288  7.867171E-17
5694.79854504755  8.700868E-17
5697.83995523221  8.453517E-17
5700.88136541688  8.688590E-17
5703.92277560154  8.509429E-17
5706.96418578621  8.810616E-17
5710.00559597088  8.721290E-17
5713.04700615555  8.956563E-17
5716.08841634021  8.642971E-17
5719.12982652488  9.091855E-17
5722.17123670955  8.996902E-17
5725.21264689421  8.992319E-17
5728.25405707888  9.441848E-17
5731.29546726355  9.493394E-17
5734.33687744822  9.231588E-17
5737.37828763288  9.195831E-17
5740.41969781755  9.683046E-17
5743.46110800222  9.288324E-17
5746.50251818688  9.400075E-17
5749.54392837155  9.196853E-17
5752.58533855622  9.469870E-17
5755.62674874089  9.653532E-17
5758.66815892555  9.401321E-17
5761.70956911022  9.701996E-17
5764.75097929488  9.125050E-17
5767.79238947955  8.732894E-17
5770.83379966422  8.905300E-17
5773.87520984889  8.885821E-17
5776.91662003355  8.690905E-17
5779.95803021822  8.334843E-17
5782.99944040289  8.442045E-17
5786.04085058755  8.050067E-17
5789.08226077222  8.059084E-17
5792.12367095689  8.036569E-17
5795.16508114156  8.412069E-17
5798.20649132622  7.743399E-17
5801.24790151089  7.793026E-17
5804.28931169556  7.402301E-17
5807.33072188022  7.058353E-17
5810.37213206489  7.072072E-17
5813.41354224956  6.629638E-17
5816.45495243422  6.937154E-17
5819.49636261889  6.332291E-17
5822.53777280356  6.198968E-17
5825.57918298823  6.178335E-17
5828.62059317289  6.077281E-17
5831.66200335756  5.624385E-17
5834.70341354223  5.806767E-17
5837.74482372689  5.802085E-17
5840.78623391156  5.080836E-17
5843.82764409623  5.028900E-17
5846.86905428089  4.777396E-17
5849.91046446556  4.952870E-17
5852.95187465023  4.472799E-17
5855.99328483489  4.511418E-17
5859.03469501956  4.984743E-17
5862.07610520423  4.302766E-17
5865.1175153889  4.233447E-17
5868.15892557356  4.676308E-17
5871.20033575823  4.517175E-17
5874.2417459429  4.319834E-17
5877.28315612756  4.360321E-17
5880.32456631223  4.277118E-17
5883.3659764969  4.384932E-17
5886.40738668157  4.176546E-17
5889.44879686623  3.454221E-17
5892.4902070509  3.939502E-17
5895.53161723557  4.204069E-17
5898.57302742023  3.848417E-17
5901.6144376049  4.055634E-17
5904.65584778957  4.007467E-17
5907.69725797423  4.157707E-17
5910.7386681589  4.363787E-17
5913.78007834357  4.743413E-17
5916.82148852824  4.496996E-17
5919.8628987129  4.288561E-17
5922.90430889757  4.320722E-17
5925.94571908224  4.405564E-17
5928.9871292669  4.139147E-17
5932.02853945157  4.761853E-17
5935.06994963624  4.577700E-17
5938.11135982091  4.576450E-17
5941.15277000557  5.068267E-17
5944.19418019024  4.886816E-17
5947.23559037491  4.870452E-17
5950.27700055957  5.078174E-17
5953.31841074424  5.393024E-17
5956.35982092891  5.732548E-17
5959.40123111357  5.552605E-17
5962.44264129824  5.563752E-17
5965.48405148291  5.895449E-17
5968.52546166758  6.240186E-17
5971.56687185224  6.581547E-17
5974.60828203691  6.581378E-17
5977.64969222158  6.557308E-17
5980.69110240624  6.924253E-17
5983.73251259091  7.227137E-17
5986.77392277558  7.412520E-17
5989.81533296024  7.405949E-17
5992.85674314491  7.551053E-17
5995.89815332958  7.930726E-17
5998.93956351424  7.842941E-17
6001.98097369891  8.157008E-17
6005.02238388358  8.597850E-17
6008.06379406825  8.549246E-17
6011.10520425291  8.510777E-17
6014.14661443758  8.464089E-17
6017.18802462225  8.421984E-17
6020.22943480691  8.370728E-17
6023.27084499158  8.914376E-17
6026.31225517625  9.808561E-17
6029.35366536092  9.958402E-17
6032.39507554558  1.019519E-16
6035.43648573025  1.009989E-16
6038.47789591492  1.019009E-16
6041.51930609958  1.010586E-16
6044.56071628425  1.018510E-16
6047.60212646892  1.041466E-16
6050.64353665358  1.092826E-16
6053.68494683825  1.071302E-16
6056.72635702292  1.094375E-16
6059.76776720758  1.031542E-16
