# B-channel spectrum:  tLSQ12gdj_20121112_Gr11_Free_slit1.5_1_f.asci
# R-channel spectrum:  tLSQ12gdj_20121112_Gr16_OG530_slit1.5_1_f.asci
# Errors estimated from scatter of spectrum
5569.53101 7.362774e-16 1.076005e-17
5573.59789 7.652790e-16 1.053371e-17
5577.66476 7.578417e-16 1.030213e-17
5581.73164 7.534175e-16 1.007238e-17
5585.79852 7.490277e-16 9.863385e-18
5589.86540 7.531637e-16 9.702679e-18
5593.93228 7.354153e-16 9.621688e-18
5597.99916 7.467631e-16 9.649827e-18
5602.06604 7.549576e-16 9.808361e-18
5606.13292 7.456326e-16 1.010556e-17
5610.19979 7.318395e-16 1.053473e-17
5614.26667 7.537083e-16 1.107548e-17
5618.33355 7.318300e-16 1.169725e-17
5622.40043 7.436124e-16 1.236358e-17
5626.46731 7.405949e-16 1.303604e-17
5630.53419 7.415491e-16 1.367742e-17
5634.60107 7.525648e-16 1.425427e-17
5638.66795 7.533641e-16 1.473877e-17
5642.73482 7.359049e-16 1.511012e-17
5646.80170 7.362250e-16 1.535519e-17
5650.86858 7.408582e-16 1.546865e-17
5654.93546 7.152045e-16 1.545228e-17
5659.00234 6.847747e-16 1.531396e-17
5663.06922 6.819182e-16 1.506630e-17
5667.13610 6.801552e-16 1.472530e-17
5671.20298 6.779638e-16 1.430932e-17
5675.26986 6.607635e-16 1.383842e-17
5679.33673 6.645235e-16 1.333390e-17
5683.40361 6.587158e-16 1.281796e-17
5687.47049 6.577125e-16 1.231283e-17
5691.53737 6.670161e-16 1.183927e-17
5695.60425 6.748913e-16 1.141420e-17
5699.67113 6.704585e-16 1.104805e-17
5703.73801 6.626581e-16 1.074273e-17
5707.80489 6.670393e-16 1.049116e-17
5711.87176 6.620903e-16 1.027886e-17
5715.93864 6.432234e-16 1.008729e-17
5720.00552 6.495430e-16 9.897754e-18
5724.07240 6.672423e-16 9.694760e-18
5728.13928 6.642223e-16 9.468052e-18
5732.20616 6.776592e-16 9.213140e-18
5736.27304 6.748569e-16 8.930659e-18
5740.33992 6.655439e-16 8.625106e-18
5744.40679 6.770767e-16 8.303555e-18
5748.47367 6.905446e-16 7.974833e-18
5752.54055 6.707872e-16 7.649404e-18
5756.60743 6.781161e-16 7.339912e-18
5760.67431 6.823828e-16 7.062035e-18
5764.74119 6.791830e-16 6.834958e-18
5768.80807 6.716252e-16 6.680609e-18
5772.87495 6.705824e-16 6.620857e-18
5776.94182 6.818141e-16 6.672663e-18
5781.00870 6.828526e-16 6.842648e-18
5785.07558 6.712544e-16 7.123594e-18
5789.14246 6.725854e-16 7.494714e-18
5793.20934 6.782460e-16 7.925288e-18
5797.27622 6.816429e-16 8.379781e-18
5801.34310 6.788440e-16 8.822685e-18
5805.40998 6.827872e-16 9.222376e-18
5809.47686 6.881905e-16 9.553950e-18
5813.54373 6.554583e-16 9.801213e-18
5817.61061 6.679892e-16 9.957881e-18
5821.67749 6.909120e-16 1.002796e-17
5825.74437 6.823863e-16 1.002516e-17
5829.81125 6.732307e-16 9.971194e-18
5833.87813 6.959221e-16 9.892912e-18
5837.94501 6.854312e-16 9.818332e-18
5842.01189 6.752269e-16 9.772093e-18
