#OBJECT = AT2020swy
#MJD-OBS = 59160.381296
#DATE-OBS = 2020-11-07T09:09:04
#EXPTIME = 2020.000000
#AIRMASS = 1.895000
#
#TELESCOPE = UH88
#INSTRUMENT = SNIFS
#FLUXCAL = RELATIVE
#WL FL ERR
#[Ang] [erg/s/cm2/A] [erg/s/cm2/A]
4395.860000 3.922626e-17 2.136989e-34
4398.240000 5.687901e-17 2.167583e-34
4400.620000 3.496959e-17 2.095085e-34
4403.000000 2.539825e-17 2.092386e-34
4405.380000 4.205672e-17 2.143827e-34
4407.760000 7.122461e-17 2.187768e-34
4410.140000 7.389439e-17 2.196410e-34
4412.520000 7.046918e-17 2.193657e-34
4414.900000 6.631643e-17 2.203667e-34
4417.280000 5.376580e-17 2.221550e-34
4419.660000 4.965870e-17 2.218209e-34
4422.040000 4.625982e-17 2.193036e-34
4424.420000 5.623426e-17 2.195823e-34
4426.800000 3.038087e-17 2.127707e-34
4429.180000 2.983442e-17 2.100177e-34
4431.560000 3.176945e-17 2.141055e-34
4433.940000 5.611507e-17 2.160555e-34
4436.320000 6.964624e-17 2.159881e-34
4438.700000 5.324780e-17 2.111392e-34
4441.080000 3.619550e-17 2.055635e-34
4443.460000 2.163239e-17 2.027902e-34
4445.840000 4.007746e-17 2.074927e-34
4448.220000 3.635640e-17 2.057290e-34
4450.600000 3.797251e-17 2.057310e-34
4452.980000 5.585971e-17 2.057724e-34
4455.360000 6.054750e-17 2.032427e-34
4457.740000 2.963293e-17 1.980279e-34
4460.120000 2.649820e-17 1.974425e-34
4462.500000 5.156084e-17 2.023176e-34
4464.880000 3.574075e-17 2.006744e-34
4467.260000 3.162323e-17 1.955564e-34
4469.640000 4.236145e-17 1.959478e-34
4472.020000 4.837863e-17 2.001505e-34
4474.400000 4.882271e-17 2.037256e-34
4476.780000 3.442200e-17 2.009549e-34
4479.160000 3.377607e-17 2.000937e-34
4481.540000 3.134695e-17 1.967573e-34
4483.920000 1.999963e-17 1.957237e-34
4486.300000 1.424114e-17 1.979001e-34
4488.680000 3.557845e-17 1.988474e-34
4491.060000 5.255797e-17 1.981285e-34
