6754.89892  5.126770E-15
6763.18014  5.023220E-15
6771.46136  4.865766E-15
6779.74258  4.758034E-15
6788.0238  4.711896E-15
6796.30502  4.666677E-15
6804.58624  4.599602E-15
6812.86746  4.479203E-15
6821.14868  4.498999E-15
6829.4299  4.344693E-15
6837.71112  4.416221E-15
6845.99234  4.412720E-15
6854.27356  4.286491E-15
6862.55478  4.048642E-15
6870.836  3.555331E-15
6879.11722  3.699804E-15
6887.39844  3.790391E-15
6895.67966  3.807628E-15
6903.96088  3.912788E-15
6912.2421  4.026845E-15
6920.52332  3.952081E-15
6928.80454  3.873714E-15
6937.08576  3.961884E-15
6945.36698  3.933192E-15
6953.6482  4.000835E-15
6961.92942  4.024587E-15
6970.21064  3.995911E-15
6978.49186  3.933357E-15
6986.77308  3.893643E-15
6995.05430000001  3.901852E-15
7003.33552  3.840336E-15
7011.61674  3.828926E-15
7019.89796  3.763298E-15
7028.17918  3.751833E-15
7036.4604  3.782883E-15
7044.74162  3.685974E-15
7053.02284  3.645971E-15
7061.30406  3.685188E-15
7069.58528  3.574164E-15
7077.8665  3.585163E-15
7086.14772  3.664153E-15
7094.42894  3.778503E-15
7102.71016  3.794641E-15
7110.99138  3.609075E-15
7119.2726  3.570648E-15
7127.55382  3.463618E-15
7135.83504  3.652321E-15
7144.11626  3.413817E-15
7152.39748  3.541461E-15
7160.6787  3.413013E-15
7168.95992  3.170686E-15
7177.24114  3.028477E-15
7185.52236  2.826029E-15
7193.80358  2.819896E-15
7202.0848  2.893452E-15
7210.36602  3.122325E-15
7218.64724  3.183500E-15
7226.92846  3.066413E-15
7235.20968  2.905443E-15
7243.4909  2.997773E-15
7251.77212  2.916844E-15
7260.05334  2.880485E-15
7268.33456  2.910515E-15
7276.61578  2.905263E-15
7284.897  2.968987E-15
7293.17822  2.890111E-15
7301.45944  2.923071E-15
7309.74066  2.909561E-15
7318.02188  3.068777E-15
7326.3031  3.098101E-15
7334.58432  3.118881E-15
7342.86554  3.031569E-15
7351.14676  3.047186E-15
7359.42798  2.996821E-15
7367.7092  2.960624E-15
7375.99042  2.942056E-15
7384.27164  2.899337E-15
7392.55286  2.881630E-15
7400.83408000001  2.745886E-15
7409.1153  2.726493E-15
7417.39652  2.564285E-15
7425.67774  2.437232E-15
7433.95896  2.408531E-15
7442.24018  2.387287E-15
7450.52140000001  2.273473E-15
7458.80262  2.068730E-15
7467.08384  2.151516E-15
7475.36506000001  2.031831E-15
7483.64628  1.814336E-15
7491.9275  1.929982E-15
7500.20872  1.806847E-15
7508.48994  1.742136E-15
7516.77116  1.653108E-15
7525.05238  1.665228E-15
7533.3336  1.777690E-15
7541.61482  1.754897E-15
7549.89604  1.906289E-15
7558.17726000001  1.886650E-15
7566.45848  1.883787E-15
7574.7397  1.786864E-15
7583.02092  1.843671E-15
7591.30214  1.569391E-15
7599.58336  9.931162E-16
7607.86458  9.329503E-16
7616.1458  1.363265E-15
7624.42702  1.345060E-15
7632.70824  1.306426E-15
7640.98946000001  1.451921E-15
7649.27068  1.712973E-15
7657.5519  1.878804E-15
7665.83312  2.213746E-15
7674.11434  2.348574E-15
7682.39556  2.342085E-15
7690.67678  2.257142E-15
7698.958  2.469620E-15
7707.23922  2.490222E-15
7715.52044  2.497678E-15
7723.80166  2.394605E-15
7732.08288  2.382432E-15
7740.3641  2.424188E-15
7748.64532  2.542661E-15
7756.92654000001  2.709301E-15
7765.20776  2.606958E-15
7773.48898000001  2.576990E-15
7781.7702  2.570465E-15
7790.05142  2.572631E-15
