BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                  573  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = 'SN1989B NAR - APERTURE 1'  /
FILENAME= 'CTIO_60_RED_06FEB89'  /
9227.1741532  3.282567E-14
9235.4715146  3.302176E-14
9243.768876  3.201574E-14
9252.0662374  3.237587E-14
9260.3635988  3.290873E-14
9268.6609602  3.213144E-14
9276.9583216  3.029880E-14
9285.255683  2.808473E-14
9293.5530444  2.599887E-14
9301.8504058  2.475364E-14
9310.1477672  2.245846E-14
9318.4451286  1.860156E-14
9326.74249  1.606831E-14
9335.0398514  1.418779E-14
9343.3372128  1.305717E-14
9351.6345742  1.458551E-14
9359.9319356  1.559401E-14
9368.229297  1.512812E-14
9376.52665840001  1.648051E-14
9384.8240198  1.880944E-14
9393.1213812  2.217887E-14
9401.4187426  2.387219E-14
9409.716104  2.253997E-14
9418.0134654  2.162740E-14
9426.3108268  2.066572E-14
9434.6081882  1.853980E-14
9442.9055496  1.745220E-14
9451.202911  1.790195E-14
9459.5002724  1.661673E-14
9467.7976338  1.720865E-14
9476.0949952  1.751022E-14
9484.3923566  1.763871E-14
9492.68971800001  1.773520E-14
9500.9870794  1.737998E-14
9509.28444080001  1.946015E-14
9517.5818022  1.810618E-14
9525.8791636  1.777629E-14
9534.176525  1.870985E-14
9542.4738864  1.950989E-14
9550.7712478  1.859329E-14
9559.0686092  1.807305E-14
9567.3659706  1.974566E-14
9575.663332  1.910168E-14
9583.96069340001  1.833889E-14
9592.2580548  1.727570E-14
9600.5554162  1.858973E-14
9608.8527776  1.935359E-14
9617.150139  1.810015E-14
9625.4475004  1.940706E-14
9633.7448618  2.054823E-14
9642.0422232  2.080804E-14
9650.3395846  2.079761E-14
