9968.28117500001  1.160567E-15
9976.57360000001  1.145052E-15
9984.86602500001  1.129543E-15
9993.15845  1.114046E-15
10001.450875  1.098554E-15
10009.7433  1.083074E-15
10018.035725  1.067603E-15
10026.32815  1.052138E-15
10034.620575  1.036684E-15
10042.913  1.021237E-15
10051.205425  1.005802E-15
10059.49785  9.903721E-16
10067.790275  9.749541E-16
10076.0827  9.595450E-16
10084.375125  9.441417E-16
10092.66755  9.287480E-16
10100.959975  9.133652E-16
10109.2524  8.979916E-16
10117.544825  8.826244E-16
10125.83725  8.672688E-16
10134.129675  8.519193E-16
10142.4221  8.365814E-16
10150.714525  8.212500E-16
10159.00695  8.059296E-16
10167.299375  7.906191E-16
10175.5918  7.753139E-16
10183.884225  7.600188E-16
10192.17665  7.447343E-16
10200.469075  7.294595E-16
10208.7615  7.141909E-16
10217.053925  6.989335E-16
10225.34635  6.836860E-16
10233.638775  6.684438E-16
10241.9312  6.532119E-16
10250.223625  6.379906E-16
10258.51605  6.227788E-16
10266.808475  6.075735E-16
10275.1009  5.923799E-16
10283.393325  5.771959E-16
10291.68575  5.620169E-16
10299.978175  5.468483E-16
10308.2706  5.316907E-16
10316.563025  5.165431E-16
10324.85545  5.014010E-16
10333.147875  4.862690E-16
10341.4403  4.711478E-16
10349.732725  4.560359E-16
10358.02515  4.409313E-16
10366.317575  4.258377E-16
10374.61  4.107541E-16
10382.902425  3.956762E-16
10391.19485  3.806083E-16
10399.487275  3.655514E-16
10407.7797  3.505047E-16
10416.072125  3.354636E-16
10424.36455  3.204344E-16
10432.656975  3.054153E-16
10440.9494  2.904019E-16
10449.241825  2.753986E-16
10457.53425  2.604064E-16
10465.826675  2.454244E-16
10474.1191  2.304480E-16
10482.411525  2.154819E-16
10490.70395  2.005268E-16
10498.996375  1.855810E-16
10507.2888  1.706427E-16
10515.581225  1.557156E-16
10523.87365  1.407986E-16
10532.166075  1.258875E-16
10540.4585  1.109866E-16
10548.750925  9.609678E-17
10557.04335  8.121723E-17
10565.335775  6.634354E-17
10573.6282  5.148185E-17
10581.920625  3.663048E-17
10590.21305  2.178491E-17
10598.505475  6.949673E-18
10606.7979  -7.874394E-18
10615.090325  -2.268819E-17
10623.38275  -3.749609E-17
10631.675175  -5.229362E-17
10639.9676  -6.707733E-17
10648.260025  -8.185691E-17
10656.55245  -9.662606E-17
10664.844875  -1.113840E-16
10673.1373  -1.261316E-16
10681.429725  -1.408733E-16
10689.72215  -1.556045E-16
10698.014575  -1.703245E-16
10706.307  -1.850340E-16
10714.599425  -1.997376E-16
