BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                  572  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = 'SN 1991T NARROW - APERTURE 1'  /
FILENAME= 'CTIO_60_25APR91.RED'  /
9586.14403  1.186170E-14
9594.442944  1.153319E-14
9602.741858  1.219995E-14
9611.040772  1.176719E-14
9619.339686  1.190579E-14
9627.6386  1.265959E-14
9635.937514  1.243309E-14
9644.236428  1.171408E-14
9652.535342  1.207353E-14
9660.83425600001  1.218765E-14
9669.13317  1.195782E-14
9677.43208400001  1.307234E-14
9685.730998  1.295500E-14
9694.029912  1.309916E-14
9702.328826  1.222946E-14
9710.62774  1.206688E-14
9718.926654  1.246701E-14
9727.225568  1.242437E-14
9735.524482  1.218109E-14
9743.823396  1.216212E-14
9752.12231  1.155791E-14
9760.421224  1.083366E-14
9768.720138  1.174110E-14
9777.019052  1.214037E-14
9785.317966  1.153127E-14
9793.61688  1.124275E-14
9801.915794  1.098838E-14
9810.214708  1.228020E-14
9818.513622  1.220092E-14
9826.812536  1.180991E-14
9835.11145  1.070200E-14
9843.410364  1.113458E-14
9851.70927800001  1.205669E-14
9860.008192  1.129118E-14
9868.30710600001  1.146031E-14
9876.60602  1.219401E-14
9884.904934  1.124538E-14
9893.203848  1.126286E-14
9901.502762  1.200430E-14
9909.801676  1.068770E-14
9918.10059  1.168488E-14
9926.399504  1.110849E-14
9934.698418  1.123669E-14
9942.997332  1.184531E-14
9951.296246  1.097669E-14
9959.59516  1.058373E-14
9967.894074  9.264117E-15
9976.192988  1.078262E-14
9984.491902  1.149207E-14
9992.79081600001  1.075614E-14
10001.08973  1.061406E-14
10009.388644  1.112372E-14
10017.687558  1.007685E-14
10025.986472  1.036825E-14
10034.285386  8.892410E-15
10042.5843  9.351914E-15
10050.883214  9.302735E-15
10059.182128  8.070617E-15
10067.481042  7.877143E-15
10075.779956  9.188984E-15
10084.07887  1.101628E-14
10092.377784  1.164777E-14
10100.676698  1.183063E-14
10108.975612  8.811662E-15
10117.274526  8.230593E-15
10125.57344  8.494933E-15
10133.872354  9.674674E-15
10142.171268  8.814005E-15
10150.470182  8.472794E-15
10158.769096  9.646316E-15
10167.06801  9.834651E-15
10175.366924  9.260598E-15
10183.665838  6.899548E-15
10191.964752  7.524912E-15
10200.263666  9.092999E-15
10208.56258  1.003570E-14
10216.861494  8.599571E-15
10225.160408  6.955534E-15
10233.459322  9.152692E-15
10241.758236  8.064738E-15
10250.05715  7.953405E-15
10258.356064  1.009127E-14
10266.654978  9.961875E-15
10274.953892  1.212505E-14
10283.252806  1.006863E-14
10291.55172  7.938612E-15
10299.850634  1.016177E-14
10308.149548  9.126338E-15
10316.448462  7.231864E-15
10324.747376  7.039881E-15
10333.04629  9.725345E-15
10341.345204  9.712556E-15
10349.644118  6.876861E-15
10357.943032  8.416816E-15
10366.241946  7.995688E-15
10374.54086  3.487146E-15
10382.839774  8.758977E-15
10391.138688  1.055361E-14
10399.437602  5.882645E-15
10407.736516  8.857350E-15
10416.03543  8.583305E-15
10424.334344  9.565388E-15
10432.633258  4.341498E-15
10440.932172  2.961877E-15
10449.231086  6.889671E-15
10457.53  1.429728E-14
10465.828914  1.988905E-14
10474.127828  9.469140E-15
10482.426742  9.982227E-15
10490.725656  8.457674E-15
10499.02457  9.305456E-15
10507.323484  2.740205E-16
10515.622398  9.307688E-15
10523.921312  1.360791E-14
10532.220226  -2.503314E-15
10540.51914  8.207459E-15
10548.818054  4.946164E-15
10557.116968  -4.317139E-16
10565.415882  1.143902E-14
10573.714796  1.700211E-14
10582.01371  1.148043E-14
10590.312624  1.621568E-14
10598.611538  1.253089E-14
10606.910452  1.253430E-14
10615.209366  1.253797E-14
10623.50828  1.254168E-14
10631.807194  1.254542E-14
10640.106108  1.254919E-14
10648.405022  1.255300E-14
10656.703936  1.255685E-14
10665.00285  1.256073E-14
10673.301764  1.256465E-14
10681.600678  1.256860E-14
10689.899592  1.257259E-14
10698.198506  1.257661E-14
10706.49742  1.258067E-14
10714.796334  1.258477E-14
10723.095248  1.258890E-14
10731.394162  1.259307E-14
10739.693076  1.259727E-14
10747.99199  1.260152E-14
10756.290904  1.260579E-14
10764.589818  1.261011E-14
10772.888732  1.261446E-14
10781.187646  1.261885E-14
10789.48656  1.262328E-14
10797.785474  1.262774E-14
10806.084388  1.263224E-14
10814.383302  1.263678E-14
10822.682216  1.264135E-14
10830.98113  1.264597E-14
10839.280044  1.265062E-14
10847.578958  1.265531E-14
10855.877872  1.266003E-14
10864.176786  1.266480E-14
10872.4757  1.266960E-14
10880.774614  1.267444E-14
10889.073528  1.267932E-14
10897.372442  1.268424E-14
10905.671356  1.268919E-14
10913.97027  1.269419E-14
10922.269184  1.269922E-14
10930.568098  1.270429E-14
10938.867012  1.270940E-14
10947.165926  1.271455E-14
10955.46484  1.271974E-14
10963.763754  1.272496E-14
10972.062668  1.273023E-14
10980.361582  1.273554E-14
10988.660496  1.274088E-14
10996.95941  1.274627E-14
11005.258324  1.275169E-14
11013.557238  1.275716E-14
11021.856152  1.276266E-14
11030.155066  1.276821E-14
11038.45398  1.277379E-14
11046.752894  1.277942E-14
