wavelength spec_sum spec_optimal
5833.13 5.31528 7.0633
5836 5.25743 6.71026
5838.88 6.14784 7.68595
5841.75 5.59573 6.96341
5844.62 5.30488 6.89305
5847.49 5.39951 7.46756
5850.36 5.29181 6.39438
5853.24 5.71809 6.9364
5856.11 4.74062 6.80657
5858.98 4.6752 6.95083
5861.85 4.73848 7.11059
5864.72 4.95018 7.04333
5867.59 5.84046 7.35077
5870.47 4.7915 6.92125
5873.34 4.94298 6.57867
5876.21 5.72894 7.57782
5879.08 4.39829 6.28582
5881.95 5.05407 6.86117
5884.82 4.65894 6.69667
5887.69 4.3216 5.54257
5890.56 4.20737 6.22675
5893.43 4.31341 6.20054
5896.3 4.36093 4.88793
5899.18 4.37623 6.00087
5902.05 4.66038 5.89495
5904.92 4.29017 5.66658
5907.79 3.93313 4.89599
5910.66 3.79442 5.32723
5913.53 4.0527 5.46446
5916.4 3.7343 4.32239
5919.27 4.77773 6.1121
5922.14 2.68867 3.77437
5925.01 4.53643 5.68137
5927.88 4.63825 6.04371
5930.74 3.8582 5.099
5933.61 3.77343 5.06419
5936.48 3.78333 4.71831
5939.35 4.04622 5.34271
5942.22 4.16489 5.28191
5945.09 4.86095 6.13215
5947.96 3.448 4.91364
5950.83 4.98566 6.16796
5953.7 3.36883 4.98959
5956.56 3.59573 4.75603
5959.43 4.48948 4.88285
5962.3 4.23803 5.3558
5965.17 4.05649 5.04034
5968.04 4.35193 5.64561
5970.91 4.05981 5.24309
5973.77 3.33428 4.54055
5976.64 4.01552 5.09158
5979.51 4.93153 5.18672
5982.38 3.84724 5.86061
5985.24 5.07926 6.14086
5988.11 4.75643 5.87647
5990.98 4.88694 6.00083
5993.85 3.65986 4.75601
5996.71 5.31759 5.77826
5999.58 5.31685 5.58506
6002.45 4.76195 5.67892
6005.31 4.67019 6.17333
6008.18 4.09395 5.15107
6011.05 4.88974 5.66566
6013.91 5.50811 6.53376
6016.78 4.76145 5.68676
6019.65 5.23705 6.68581
6022.51 4.31828 5.55653
6025.38 4.98676 6.2363
6028.25 5.44775 6.72087
6031.11 5.3244 6.35033
6033.98 4.44875 5.2749
6036.84 4.02835 5.5832
6039.71 4.69218 5.71823
6042.57 3.9175 4.78766
6045.44 4.48432 5.61044
6048.3 4.61747 5.20666
6051.17 4.8541 6.09281
6054.04 4.78846 5.39462
6056.9 6.15965 6.86808
6059.76 5.40062 6.40842
6062.63 4.65069 5.8344
6065.49 4.95476 5.57243
6068.36 3.69824 4.41854
6071.22 5.03652 5.86705
6074.09 4.12546 5.06446
6076.95 4.63302 5.51635
6079.82 4.80555 5.52631
6082.68 4.96613 5.84007
6085.54 4.22936 5.24498
6088.41 4.41473 5.64169
6091.27 3.31807 4.48579
6094.13 4.19067 5.21761
6097 3.89527 4.76104
6099.86 4.91295 5.34732
6102.72 4.86225 5.12505
6105.59 4.46048 5.05939
6108.45 4.76266 5.63476
6111.31 4.38467 5.14555
6114.18 4.03962 4.69598
6117.04 4.22248 4.7831
6119.9 4.18027 4.82699
6122.76 4.56213 5.21643
6125.63 4.3112 4.71001
6128.49 3.74085 4.6219
6131.35 4.68384 5.37122
6134.21 4.01722 4.33063
6137.08 4.08509 4.97107
6139.94 3.78364 4.30847
6142.8 3.74895 4.32799
6145.66 3.65295 3.83111
6148.52 4.29936 4.72833
6151.38 3.70512 4.42816
6154.24 4.27273 4.59453
6157.11 3.41245 4.84136
6159.97 4.24737 5.22451
6162.83 3.95625 4.61644
6165.69 4.51477 4.81395
6168.55 4.03038 4.5053
6171.41 3.74688 4.29646
6174.27 3.56238 4.31023
6177.13 3.47198 4.62017
6179.99 4.40599 4.80346
6182.85 3.30115 4.04329
6185.71 4.05207 4.77672
6188.57 3.94542 4.54931
6191.43 3.49923 4.34678
6194.29 3.42202 4.32174
6197.15 2.98338 3.67594
6200.01 3.67612 3.88874
6202.87 3.34806 3.7284
6205.73 3.4212 3.8365
6208.59 2.87523 3.71713
6211.45 4.16266 4.50104
6214.3 3.41647 4.12057
6217.16 3.23542 3.75182
6220.02 3.3126 3.58484
6222.88 2.23156 3.14823
6225.74 3.072 3.59591
6228.6 2.85161 3.55961
6231.46 2.62057 3.06873
6234.31 2.00869 2.67676
6237.17 2.92237 3.63304
6240.03 1.77721 2.5052
6242.89 1.82303 1.98459
6245.74 2.44196 2.6953
6248.6 2.4816 2.76077
6251.46 2.35618 3.01651
6254.32 1.53565 2.36128
6257.17 1.26458 1.44548
6260.03 2.10228 2.38309
6262.89 1.88225 2.12825
6265.74 1.93708 2.1585
6268.6 2.17486 2.13561
6271.46 1.77991 2.12765
6274.31 0.923251 1.40256
6277.17 1.72098 2.22471
6280.03 1.28991 1.78775
6282.88 1.93759 2.39943
6285.74 1.2682 1.46185
6288.59 1.28278 1.41152
6291.45 1.80497 1.42057
6294.31 0.417613 1.18494
6297.16 1.05233 1.12708
6300.02 2.3286 2.42485
6302.87 0.887767 1.38213
6305.73 0.826875 1.26308
6308.58 0.313703 0.837219
6311.44 1.93149 1.94892
6314.29 2.25596 2.2338
6317.15 1.39417 1.59193
6320 1.06624 1.34143
6322.86 1.77097 2.23701
6325.71 0.645976 0.9357
6328.56 1.74806 2.22127
6331.42 1.29434 1.92432
6334.27 1.4603 1.33557
6337.13 1.666 1.67561
6339.98 1.88447 2.06925
6342.83 1.26903 1.64857
6345.69 1.34787 1.6314
6348.54 1.83422 2.05717
6351.39 2.4999 2.91117
6354.24 1.25327 1.5
6357.1 2.29942 2.28708
6359.95 1.6239 1.96468
6362.8 1.67342 1.62208
6365.66 0.803859 1.42474
6368.51 2.33807 2.16878
6371.36 1.81272 2.08374
6374.21 2.23283 2.16439
6377.06 2.05467 1.89344
6379.92 0.971003 1.25007
6382.77 1.05216 1.16637
6385.62 1.78483 1.77806
6388.47 1.82834 2.1036
6391.32 1.69467 1.6367
6394.17 2.08601 2.35021
6397.03 1.19435 1.489
6399.88 0.518654 0.687222
6402.73 0.141926 0.361713
6405.58 0.479488 0.536288
6408.43 1.37987 1.41788
6411.28 2.23167 2.56412
6414.13 0.994881 1.63764
6416.98 1.93532 2.18326
6419.83 1.54587 1.98956
6422.68 1.82981 2.33097
6425.53 2.17622 2.1633
6428.38 1.68725 2.14883
6431.23 1.43084 1.81544
6434.08 1.60162 1.73013
6436.93 2.04128 2.23318
6439.78 2.11441 2.28558
6442.63 2.50569 2.5095
6445.48 2.63656 2.77476
6448.32 2.0278 2.29133
6451.17 2.10262 2.54409
6454.02 1.6567 2.08521
6456.87 1.47281 1.64639
6459.72 2.115 2.08155
6462.57 1.63119 2.18394
6465.41 1.34951 1.60094
6468.26 1.7407 2.08683
6471.11 2.14667 2.23029
6473.96 2.26662 2.23795
6476.8 2.24 2.31864
6479.65 1.46264 1.83391
6482.5 2.10711 2.38684
6485.35 1.70919 1.93124
6488.19 1.11465 1.09705
6491.04 1.8629 2.11301
