#PI: Shappee 
#OBJECT: ASASSN-14lp 
#JD: 2457047.79345 
# 
#Angstrom    Flux(erg/s/cm**2/Angstrom) 
4918.2 1.3860274e-14 
4920.1 1.4002166e-14 
4922.0 1.4127766e-14 
4923.9 1.4309677e-14 
4925.8 1.4273192e-14 
4927.8 1.4479963e-14 
4929.7 1.4702941e-14 
4931.6 1.4658917e-14 
4933.5 1.4692032e-14 
4935.4 1.4700789e-14 
4937.4 1.4507023e-14 
4939.3 1.4451241e-14 
4941.2 1.4400352e-14 
4943.1 1.4274425e-14 
4945.0 1.4091035e-14 
4947.0 1.3970241e-14 
4948.9 1.3774036e-14 
4950.8 1.3464468e-14 
4952.7 1.3358872e-14 
4954.6 1.3060015e-14 
4956.6 1.2759401e-14 
4958.5 1.2355621e-14 
4960.4 1.1878341e-14 
4962.3 1.1643709e-14 
4964.3 1.144669e-14 
4966.2 1.100208e-14 
4968.1 1.0660342e-14 
4970.0 1.066535e-14 
4971.9 1.0522203e-14 
4973.9 1.026983e-14 
4975.8 1.0290484e-14 
4977.7 1.0059359e-14 
4979.6 9.7312793e-15 
4981.5 9.4321255e-15 
4983.5 9.3614373e-15 
4985.4 9.3090456e-15 
4987.3 9.1403357e-15 
4989.2 8.8470731e-15 
4991.1 8.7448703e-15 
4993.1 8.6408591e-15 
4995.0 8.4696571e-15 
4996.9 8.3745084e-15 
4998.8 8.2994515e-15 
5000.7 8.1868558e-15 
5002.7 8.1181e-15 
5004.6 7.9649836e-15 
5006.5 7.7663838e-15 
5008.4 7.7459422e-15 
5010.3 7.6984552e-15 
5012.3 7.6546246e-15 
5014.2 7.623202e-15 
5016.1 7.6032562e-15 
5018.0 7.5278842e-15 
5020.0 7.4520572e-15 
5021.9 7.4562856e-15 
5023.8 7.4278968e-15 
5025.7 7.3231245e-15 
5027.6 7.2099486e-15 
5029.6 7.146241e-15 
5031.5 7.1155257e-15 
5033.4 7.0440289e-15 
5035.3 7.0809464e-15 
5037.2 6.9231761e-15 
5039.2 6.8630792e-15 
5041.1 6.9138775e-15 
5043.0 6.8748566e-15 
5044.9 6.7976183e-15 
5046.8 6.8666001e-15 
5048.8 6.8703593e-15 
5050.7 6.7506798e-15 
5052.6 6.7300139e-15 
5054.5 6.7909462e-15 
5056.4 6.7497639e-15 
5058.4 6.6629363e-15 
5060.3 6.6806933e-15 
5062.2 6.7372658e-15 
5064.1 6.6925365e-15 
5066.0 6.6190078e-15 
5068.0 6.6036652e-15 
5069.9 6.6419953e-15 
5071.8 6.5793762e-15 
5073.7 6.6216612e-15 
5075.7 6.6351567e-15 
5077.6 6.5178972e-15 
5079.5 6.5868842e-15 
5081.4 6.5394232e-15 
5083.3 6.5169975e-15 
5085.3 6.5432866e-15 
5087.2 6.5854629e-15 
5089.1 6.5856923e-15 
5091.0 6.5556313e-15 
5092.9 6.5602572e-15 
5094.9 6.6172441e-15 
5096.8 6.5609704e-15 
5098.7 6.5642164e-15 
5100.6 6.531622e-15 
5102.5 6.4972839e-15 
5104.5 6.443857e-15 
5106.4 6.384333e-15 
5108.3 6.3922652e-15 
5110.2 6.3858303e-15 
5112.1 6.3406533e-15 
5114.1 6.3218236e-15 
5116.0 6.3936211e-15 
5117.9 6.512672e-15 
5119.8 6.5464968e-15 
5121.8 6.606284e-15 
5123.7 6.6170943e-15 
5125.6 6.5629583e-15 
5127.5 6.586346e-15 
5129.4 6.5990578e-15 
5131.4 6.6516378e-15 
5133.3 6.7221996e-15 
5135.2 6.7767825e-15 
5137.1 6.7961222e-15 
5139.0 6.8197303e-15 
5141.0 6.8852962e-15 
5142.9 6.993606e-15 
5144.8 6.9844699e-15 
5146.7 7.0145742e-15 
5148.6 7.0901657e-15 
5150.6 7.1187627e-15 
5152.5 7.2976434e-15 
5154.4 7.3853116e-15 
5156.3 7.3243418e-15 
5158.2 7.2235046e-15 
5160.2 7.3167773e-15 
5162.1 7.4591869e-15 
5164.0 7.5947133e-15 
5165.9 7.6090443e-15 
5167.8 7.5602421e-15 
5169.8 7.7022905e-15 
5171.7 7.8789786e-15 
5173.6 8.0157473e-15 
5175.5 8.2045834e-15 
5177.5 8.2860576e-15 
5179.4 8.4502873e-15 
5181.3 8.4513111e-15 
5183.2 8.5612971e-15 
5185.1 8.7812629e-15 
5187.1 8.8361164e-15 
5189.0 8.9794255e-15 
5190.9 9.1136928e-15 
5192.8 9.2528437e-15 
5194.7 9.3386875e-15 
5196.7 9.379386e-15 
5198.6 9.5821756e-15 
5200.5 9.7398061e-15 
5202.4 9.8160081e-15 
5204.3 9.9476306e-15 
5206.3 1.0132666e-14 
5208.2 1.0171654e-14 
5210.1 1.0271425e-14 
5212.0 1.0229374e-14 
5213.9 1.0341331e-14 
5215.9 1.0530047e-14 
5217.8 1.0545867e-14 
5219.7 1.0624968e-14 
5221.6 1.0678926e-14 
5223.5 1.0785859e-14 
5225.5 1.0805672e-14 
5227.4 1.0879658e-14 
5229.3 1.108117e-14 
5231.2 1.1236766e-14 
5233.2 1.1284132e-14 
5235.1 1.1265275e-14 
5237.0 1.1418068e-14 
5238.9 1.1792222e-14 
